model,model_key,dataset,plausibility_stratum,mean_p_clean_wrong,mean_p_reset_wrong,mean_hysteresis_gap,positive_hysteresis_rate,ordinary_reset_wrong_follow_rate,n_items
Qwen2.5-1.5B,qwen25_15b,mmlu_pro,High,0.2699589543380806,0.8816705352709068,0.6117115809328263,0.9101796407185628,0.8982035928143712,167
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,Low,5.527457374669081e-06,0.4946028657215265,0.49459733826415186,1.0,0.49700598802395207,167
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,Mid,0.0005676171143318057,0.6500334394229099,0.6494658223085781,0.9397590361445783,0.6626506024096386,166
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,High,0.4950730213940506,0.8503884812007514,0.3553154598067007,0.7904191616766467,0.8562874251497006,167
Qwen2.5-14B,qwen25_14b,mmlu_pro,Low,5.452447053314945e-13,0.07721667453851705,0.0772166745379718,0.7065868263473054,0.0718562874251497,167
Qwen2.5-14B,qwen25_14b,mmlu_pro,Mid,6.688770844359969e-08,0.31628752196966664,0.3162874550819582,0.6807228915662651,0.3192771084337349,166
Qwen2.5-14B,qwen25_14b,mmlu_pro,High,0.2518385851110562,0.6749169477567397,0.4230783626456835,0.7425149700598802,0.6826347305389222,167
Qwen2.5-14B,qwen25_14b,truthfulqa_mc,Low,5.881796824799806e-16,0.01268386541278058,0.012683865412779993,0.32934131736526945,0.011976047904191617,167
Qwen2.5-14B,qwen25_14b,truthfulqa_mc,Mid,8.888511683162522e-12,0.031185384699466114,0.031185384690577606,0.25301204819277107,0.030120481927710843,166
Qwen2.5-14B,qwen25_14b,truthfulqa_mc,High,0.22756177145584014,0.2937525326961176,0.0661907612402775,0.4491017964071856,0.2994011976047904,167
Qwen2.5-7B,qwen25_7b,mmlu_pro,Low,2.1317390569659245e-09,0.07788586291085547,0.07788586077911641,0.49700598802395207,0.07784431137724551,167
Qwen2.5-7B,qwen25_7b,mmlu_pro,Mid,1.5059989201263329e-05,0.33627168647670724,0.336256626487506,0.45180722891566266,0.3373493975903614,166
Qwen2.5-7B,qwen25_7b,mmlu_pro,High,0.2413189192864603,0.6134507504874562,0.3721318312009959,0.6047904191616766,0.6167664670658682,167
Qwen2.5-7B,qwen25_7b,truthfulqa_mc,Low,8.001993491946909e-11,0.00598658257771952,0.0059865824976995845,0.5748502994011976,0.005988023952095809,167
Qwen2.5-7B,qwen25_7b,truthfulqa_mc,Mid,6.585144698090902e-08,0.04182155824664655,0.04182149239519957,0.3072289156626506,0.04216867469879518,166
Qwen2.5-7B,qwen25_7b,truthfulqa_mc,High,0.28735031228747415,0.2726141595620307,-0.014736152725443472,0.2634730538922156,0.2694610778443114,167
