model,model_key,dataset,item_id,pressure_type,condition,alpha_star,binding_constraint_primary,binding_constraints_json,top1_binding,p_top_clean_binding,entropy_binding,max_prob_binding,kl_binding
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00740,correct_pressure,cctp_prob_linear_min_alpha,0.95,p_top_clean,"[""p_top_clean"", ""entropy""]",False,True,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00740,correct_pressure,cctp_geometric_prob_min_alpha,0.82,p_top_clean,"[""p_top_clean"", ""entropy""]",False,True,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00740,correct_pressure,cctp_kl_projection_tau_005,0.75,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00740,correct_pressure,cctp_kl_projection_tau_010,0.67,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,wrong_pressure,cctp_logit_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,wrong_pressure,cctp_tube_main,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,wrong_pressure,cctp_tube_strict,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,wrong_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,wrong_pressure,cctp_prob_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,wrong_pressure,cctp_geometric_prob_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,wrong_pressure,cctp_kl_projection_tau_005,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,wrong_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,correct_pressure,cctp_logit_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,correct_pressure,cctp_tube_main,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,correct_pressure,cctp_tube_strict,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,correct_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,correct_pressure,cctp_prob_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,correct_pressure,cctp_geometric_prob_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,correct_pressure,cctp_kl_projection_tau_005,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00724,correct_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,wrong_pressure,cctp_logit_linear_min_alpha,0.25,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,wrong_pressure,cctp_tube_main,0.25,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,wrong_pressure,cctp_tube_strict,0.49,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,wrong_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,wrong_pressure,cctp_prob_linear_min_alpha,0.22,p_top_clean,"[""p_top_clean""]",False,True,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,wrong_pressure,cctp_geometric_prob_min_alpha,0.25,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,wrong_pressure,cctp_kl_projection_tau_005,0.49,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,wrong_pressure,cctp_kl_projection_tau_010,0.25,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,correct_pressure,cctp_logit_linear_min_alpha,0.77,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,correct_pressure,cctp_tube_main,0.77,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,correct_pressure,cctp_tube_strict,0.82,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,correct_pressure,cctp_tube_loose,0.74,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,correct_pressure,cctp_prob_linear_min_alpha,0.97,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,correct_pressure,cctp_geometric_prob_min_alpha,0.77,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,correct_pressure,cctp_kl_projection_tau_005,0.73,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00678,correct_pressure,cctp_kl_projection_tau_010,0.67,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,wrong_pressure,cctp_logit_linear_min_alpha,0.07,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,wrong_pressure,cctp_tube_main,0.07,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,wrong_pressure,cctp_tube_strict,0.26,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,wrong_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,wrong_pressure,cctp_prob_linear_min_alpha,0.15,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,wrong_pressure,cctp_geometric_prob_min_alpha,0.07,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,wrong_pressure,cctp_kl_projection_tau_005,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,wrong_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,correct_pressure,cctp_logit_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,correct_pressure,cctp_tube_main,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,correct_pressure,cctp_tube_strict,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,correct_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,correct_pressure,cctp_prob_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,correct_pressure,cctp_geometric_prob_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,correct_pressure,cctp_kl_projection_tau_005,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00632,correct_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,wrong_pressure,cctp_logit_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,wrong_pressure,cctp_tube_main,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,wrong_pressure,cctp_tube_strict,0.04,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,wrong_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,wrong_pressure,cctp_prob_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,wrong_pressure,cctp_geometric_prob_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,wrong_pressure,cctp_kl_projection_tau_005,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,wrong_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,correct_pressure,cctp_logit_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,correct_pressure,cctp_tube_main,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,correct_pressure,cctp_tube_strict,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,correct_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,correct_pressure,cctp_prob_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,correct_pressure,cctp_geometric_prob_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,correct_pressure,cctp_kl_projection_tau_005,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00237,correct_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,wrong_pressure,cctp_logit_linear_min_alpha,0.8,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,wrong_pressure,cctp_tube_main,0.8,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,wrong_pressure,cctp_tube_strict,0.86,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,wrong_pressure,cctp_tube_loose,0.71,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,wrong_pressure,cctp_prob_linear_min_alpha,0.83,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,wrong_pressure,cctp_geometric_prob_min_alpha,0.8,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,wrong_pressure,cctp_kl_projection_tau_005,0.86,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,wrong_pressure,cctp_kl_projection_tau_010,0.8,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,correct_pressure,cctp_logit_linear_min_alpha,0.81,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,correct_pressure,cctp_tube_main,0.81,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,correct_pressure,cctp_tube_strict,0.87,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,correct_pressure,cctp_tube_loose,0.73,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,correct_pressure,cctp_prob_linear_min_alpha,0.59,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,correct_pressure,cctp_geometric_prob_min_alpha,0.81,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,correct_pressure,cctp_kl_projection_tau_005,0.87,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00584,correct_pressure,cctp_kl_projection_tau_010,0.81,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,wrong_pressure,cctp_logit_linear_min_alpha,0.65,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,wrong_pressure,cctp_tube_main,0.65,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,wrong_pressure,cctp_tube_strict,0.77,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,wrong_pressure,cctp_tube_loose,0.44,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,wrong_pressure,cctp_prob_linear_min_alpha,0.17,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,wrong_pressure,cctp_geometric_prob_min_alpha,0.65,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,wrong_pressure,cctp_kl_projection_tau_005,0.77,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,wrong_pressure,cctp_kl_projection_tau_010,0.65,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,correct_pressure,cctp_logit_linear_min_alpha,0.76,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,correct_pressure,cctp_tube_main,0.76,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,correct_pressure,cctp_tube_strict,0.85,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,correct_pressure,cctp_tube_loose,0.62,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,correct_pressure,cctp_prob_linear_min_alpha,0.17,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,correct_pressure,cctp_geometric_prob_min_alpha,0.76,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,correct_pressure,cctp_kl_projection_tau_005,0.85,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00664,correct_pressure,cctp_kl_projection_tau_010,0.76,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,wrong_pressure,cctp_logit_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,wrong_pressure,cctp_tube_main,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,wrong_pressure,cctp_tube_strict,0.23,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,wrong_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,wrong_pressure,cctp_prob_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,wrong_pressure,cctp_geometric_prob_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,wrong_pressure,cctp_kl_projection_tau_005,0.23,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,wrong_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,correct_pressure,cctp_logit_linear_min_alpha,0.24,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,correct_pressure,cctp_tube_main,0.24,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,correct_pressure,cctp_tube_strict,0.54,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,correct_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,correct_pressure,cctp_prob_linear_min_alpha,0.02,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,correct_pressure,cctp_geometric_prob_min_alpha,0.24,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,correct_pressure,cctp_kl_projection_tau_005,0.54,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00748,correct_pressure,cctp_kl_projection_tau_010,0.24,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,wrong_pressure,cctp_logit_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,wrong_pressure,cctp_tube_main,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,wrong_pressure,cctp_tube_strict,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,wrong_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,wrong_pressure,cctp_prob_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,wrong_pressure,cctp_geometric_prob_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,wrong_pressure,cctp_kl_projection_tau_005,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,wrong_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,correct_pressure,cctp_logit_linear_min_alpha,0.14,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,correct_pressure,cctp_tube_main,0.14,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,correct_pressure,cctp_tube_strict,0.48,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,correct_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,correct_pressure,cctp_prob_linear_min_alpha,0.02,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,correct_pressure,cctp_geometric_prob_min_alpha,0.14,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,correct_pressure,cctp_kl_projection_tau_005,0.48,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00615,correct_pressure,cctp_kl_projection_tau_010,0.14,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,wrong_pressure,cctp_logit_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,wrong_pressure,cctp_tube_main,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,wrong_pressure,cctp_tube_strict,0.27,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,wrong_pressure,cctp_tube_loose,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,wrong_pressure,cctp_prob_linear_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,wrong_pressure,cctp_geometric_prob_min_alpha,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,wrong_pressure,cctp_kl_projection_tau_005,0.27,KL,"[""KL""]",False,False,False,False,True
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,wrong_pressure,cctp_kl_projection_tau_010,0.0,none,[],False,False,False,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,correct_pressure,cctp_logit_linear_min_alpha,0.78,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,correct_pressure,cctp_tube_main,0.78,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,correct_pressure,cctp_tube_strict,0.83,entropy,"[""entropy""]",False,False,True,False,False
Qwen2.5-1.5B,qwen25_15b,truthfulqa_mc,truthfulqa_mc_00404,correct_pressure,cctp_tube_loose,0.73,entropy,"[""entropy""]",False,False,True,False,False
