dataset,question_id,original_index,source_row_index,source_question_id,source_split,correct_label,correct_text,n_options
mmlu_pro,mmlu_pro_3917,23,,3917,test,B,"methane < 2,3-dimethylbutane < neopentane < n-hexane < n-undecane",10
mmlu_pro,mmlu_pro_11562,24,,11562,test,F,0.119 wavelength^2,10
mmlu_pro,mmlu_pro_7847,25,,7847,test,C,36,10
mmlu_pro,mmlu_pro_3739,26,,3739,test,D,7$\mathrm{mol}^{-1}$,10
mmlu_pro,mmlu_pro_9795,27,,9795,test,C,43 ft,10
mmlu_pro,mmlu_pro_12104,28,,12104,test,E,1484.4 lb./in.,10
mmlu_pro,mmlu_pro_2457,29,,2457,test,A,Statistical nonsignificance under low power,4
mmlu_pro,mmlu_pro_4906,30,,4906,test,E,maize,6
mmlu_pro,mmlu_pro_11886,31,,11886,test,E,- 0.745∠116.5651°,10
mmlu_pro,mmlu_pro_5396,32,,5396,test,E,Miriam,10
mmlu_pro,mmlu_pro_1290,33,,1290,test,A,Ajax is a merchant selling Sipep.,4
mmlu_pro,mmlu_pro_10452,34,,10452,test,H,The polynomial degree,10
mmlu_pro,mmlu_pro_11847,35,,11847,test,J,0.06 watt/meter^2,10
mmlu_pro,mmlu_pro_8147,36,,8147,test,F,30,10
mmlu_pro,mmlu_pro_1540,37,,1540,test,I,"admitted against both the son and the father, because they were engaged in a conspiracy.",10
mmlu_pro,mmlu_pro_11733,38,,11733,test,B,"Sampling rate of 3 samples/sec, ramp slope of 100 V/sec, counting rate of 1,600 counts/second",10
mmlu_pro,mmlu_pro_8676,39,,8676,test,A,4t,9
mmlu_pro,mmlu_pro_4090,40,,4090,test,C,16 $\mathrm{mg}$,10
mmlu_pro,mmlu_pro_7497,41,,7497,test,F,I III and IV only,9
mmlu_pro,mmlu_pro_7490,42,,7490,test,A,low levels of income relative to other nations.,6
mmlu_pro,mmlu_pro_3763,43,,3763,test,C,78.73°C,10
mmlu_pro,mmlu_pro_6035,44,,6035,test,B,adjustment disorder with anxious mood,10
mmlu_pro,mmlu_pro_281,45,,281,test,J,"Equilibrium price is 20 dollars, Number of barrels sold is 40 per day",10
mmlu_pro,mmlu_pro_10852,46,,10852,test,B,are independent: You can accept either part without accepting the other.,10
mmlu_pro,mmlu_pro_7807,47,,7807,test,H,5,10
mmlu_pro,mmlu_pro_9030,48,,9030,test,D,"[8, -14]",10
mmlu_pro,mmlu_pro_10306,49,,10306,test,J,0.671 gm,10
mmlu_pro,mmlu_pro_3878,50,,3878,test,I,0.2423 cal mol^-1K^-1,10
mmlu_pro,mmlu_pro_791,51,,791,test,J,$103.00,10
mmlu_pro,mmlu_pro_8369,52,,8369,test,E,(I) and (IV ),10
mmlu_pro,mmlu_pro_7793,53,,7793,test,C,"True, False",4
mmlu_pro,mmlu_pro_1610,54,,1610,test,B,The court will rule that there was an implied in fact contract between the parties based on the conduct that they manifested.,9
mmlu_pro,mmlu_pro_12122,55,,12122,test,A,1.5 KV.,10
mmlu_pro,mmlu_pro_3944,56,,3944,test,F,16.4 cc,10
mmlu_pro,mmlu_pro_2782,57,,2782,test,D,confirmation bias may influence clinicians' views and treatments of mental patients.,10
mmlu_pro,mmlu_pro_627,58,,627,test,H,Convenience and quota samples.,9
mmlu_pro,mmlu_pro_4901,59,,4901,test,C,They had no interest in the products that Great Britain could provide.,9
mmlu_pro,mmlu_pro_11879,60,,11879,test,G,0.95 W,10
mmlu_pro,mmlu_pro_10510,61,,10510,test,I,E7_{16},10
mmlu_pro,mmlu_pro_11343,62,,11343,test,I,k^2 \leq [{\pi} / {f_1(2f_m - \pif_1)}],10
mmlu_pro,mmlu_pro_11211,63,,11211,test,F,contemplating God.,10
mmlu_pro,mmlu_pro_7737,64,,7737,test,F,f (x) = 0 has three real solutions.,10
mmlu_pro,mmlu_pro_10582,65,,10582,test,A,"Packed arrays store values in memory in the most compact way possible, taking up less space but increasing processing time.",10
mmlu_pro,mmlu_pro_10478,66,,10478,test,G,"FindName ([""Andrea"", ""Ben"", ""Chris""], ""Ben"")",10
mmlu_pro,mmlu_pro_7648,67,,7648,test,I,This is short run diminishing marginal productivity.,10
mmlu_pro,mmlu_pro_6643,68,,6643,test,I,Induces apoptosis via caspases,10
mmlu_pro,mmlu_pro_7407,69,,7407,test,G,Pure capitalism stimulates and encourages technological advance by providing opportunities and incentives for technological innovation.,10
mmlu_pro,mmlu_pro_8266,70,,8266,test,H,y - 36 = 13,10
mmlu_pro,mmlu_pro_2106,71,,2106,test,G,delta waves.,10
mmlu_pro,mmlu_pro_6332,72,,6332,test,B,0.93,10
mmlu_pro,mmlu_pro_854,73,,854,test,A,40 %,10
mmlu_pro,mmlu_pro_2046,74,,2046,test,D,- .44,10
mmlu_pro,mmlu_pro_3206,75,,3206,test,B,The same chromosome in every cell of a normal female is inactivated.,4
mmlu_pro,mmlu_pro_6931,76,,6931,test,C,The total market value of all final goods and services produced in the economy in one year,10
mmlu_pro,mmlu_pro_4709,77,,4709,test,A,mutilation and violence.,9
mmlu_pro,mmlu_pro_7771,78,,7771,test,I,157.875 $\mathrm{mg}$,10
mmlu_pro,mmlu_pro_4784,79,,4784,test,C,"The separation between native Siberians and the earliest Native Americans occurred sometime between 20,000 and 23,000 years ago.",10
mmlu_pro,mmlu_pro_11384,80,,11384,test,D,- [(4K) / {(K + 1)^2 - (K - 1)^2 (a/b)^2}],10
mmlu_pro,mmlu_pro_3454,81,,3454,test,G,39 percent,10
mmlu_pro,mmlu_pro_7260,82,,7260,test,G,"a) Change in supply, b) Change in supply, c) Change in quantity supplied",10
mmlu_pro,mmlu_pro_7246,83,,7246,test,B,aggregate the firm supply curves horizontally,10
mmlu_pro,mmlu_pro_2651,84,,2651,test,D,the employee’s beliefs about the value of rewards provided for successful performance.,10
mmlu_pro,mmlu_pro_9735,85,,9735,test,H,40%,10
mmlu_pro,mmlu_pro_9350,86,,9350,test,I,equivalent to a concave mirror of radius f,10
mmlu_pro,mmlu_pro_5973,87,,5973,test,G,20,10
mmlu_pro,mmlu_pro_10832,88,,10832,test,I,Father of Goodness,10
mmlu_pro,mmlu_pro_2340,89,,2340,test,J,reading chills usually do not reach normal levels as these children reach adulthood,10
mmlu_pro,mmlu_pro_4663,90,,4663,test,C,64.5 g of protein per day,10
mmlu_pro,mmlu_pro_6061,91,,6061,test,I,High dose ß-carotene supplements,10
mmlu_pro,mmlu_pro_1612,92,,1612,test,E,gratuitous assignment of future rights.,10
mmlu_pro,mmlu_pro_4732,93,,4732,test,A,mobiliary art.,4
mmlu_pro,mmlu_pro_4063,94,,4063,test,F,40.59 kJ,10
mmlu_pro,mmlu_pro_4876,95,,4876,test,B,an earthquake and a volcanic eruption,10
mmlu_pro,mmlu_pro_12183,96,,12183,test,G,h(y) = [1 / {\pi\surdy(1 + y)}]y > 0 and = 0otherwise,9
mmlu_pro,mmlu_pro_8895,97,,8895,test,H,345,10
mmlu_pro,mmlu_pro_6209,98,,6209,test,I,"Dyspnoea, tachycardia, and distended neck veins.",10
mmlu_pro,mmlu_pro_10520,99,,10520,test,D,A heap area,6
mmlu_pro,mmlu_pro_6508,100,,6508,test,I,nonmaleficence overrides autonomy,10
mmlu_pro,mmlu_pro_7964,101,,7964,test,B,0.4295,10
mmlu_pro,mmlu_pro_12181,102,,12181,test,G,9.1792 [(mg of O_2) / (liter of solution)],10
mmlu_pro,mmlu_pro_11899,103,,11899,test,B,"0.2563psia, 0.01089",10
mmlu_pro,mmlu_pro_8955,104,,8955,test,D,0,10
mmlu_pro,mmlu_pro_4742,105,,4742,test,B,Americans have more freedoms than people in other countries.,10
mmlu_pro,mmlu_pro_1781,106,,1781,test,I,"A merchant writes buyer offering to sell the widget for $35,000.",9
mmlu_pro,mmlu_pro_2005,107,,2005,test,D,equally effective,10
mmlu_pro,mmlu_pro_8024,108,,8024,test,C,72,10
mmlu_pro,mmlu_pro_2470,109,,2470,test,C,"The six major categories of abnormal behavior in DSM-II are mental retardation, organic brain syndromes, psychoses not attributed to physical conditions, neuroses, personality disorders and other nonpsychotic mental disorders, and psychophysiological disorders.",10
mmlu_pro,mmlu_pro_3364,110,,3364,test,D,"The reaction of the sensitive plant, Mimosapudica, to touch demonstrates that transmission of impulses does indeed occur in plants.",10
mmlu_pro,mmlu_pro_8638,111,,8638,test,C,2.8108,10
mmlu_pro,mmlu_pro_3672,112,,3672,test,H,1.5eV,10
mmlu_pro,mmlu_pro_176,113,,176,test,B,May 15,10
mmlu_pro,mmlu_pro_10689,114,,10689,test,G,one in which each main memory word can be stored at any of 3 cache locations,7
mmlu_pro,mmlu_pro_7804,115,,7804,test,I,Matched pairs comparison of population means,10
mmlu_pro,mmlu_pro_5434,116,,5434,test,B,"Whereas illegal markets were territorially bounded and isolated in the past, the contemporary form illicit markets tend to be interrelated and mutually supporting and more embedded in the legal economy.",4
mmlu_pro,mmlu_pro_6539,117,,6539,test,I,superficial to masseter and enters the mouth opposite the upper second molar.,10
mmlu_pro,mmlu_pro_3975,118,,3975,test,C,0.41(J / °K),4
mmlu_pro,mmlu_pro_4993,119,,4993,test,F,The formation of the non-aligned movement,10
mmlu_pro,mmlu_pro_2093,120,,2093,test,F,moderate levels of arousal.,10
mmlu_pro,mmlu_pro_8719,121,,8719,test,I,1,10
mmlu_pro,mmlu_pro_7519,122,,7519,test,C,Transfer earnings are zero and the price of the land is entirely made up of economic rent.,10
mmlu_pro,mmlu_pro_6994,123,,6994,test,F,absence of the trade components,10
mmlu_pro,mmlu_pro_3417,124,,3417,test,H,"Scent, celestial clues, earth's magnetic field",10
mmlu_pro,mmlu_pro_11567,125,,11567,test,E,"Overall heat transfer coefficient: 978.97 Btu/hr-ft^2-°F, Total rate of heat transfer: 123,021 Btu/hr, Total rate of condensation: 94.3 lb/hr",10
mmlu_pro,mmlu_pro_1239,126,,1239,test,E,"the investor, because the deed absolute did not extinguish his right of redemption.",9
mmlu_pro,mmlu_pro_4777,127,,4777,test,D,That China was surpassed by Europe in global power because it turned a blind eye to the obvious benefits of technological change,4
mmlu_pro,mmlu_pro_6605,128,,6605,test,C,The inferior articular demifacet of T5 and the superior articular demifacet of T6.,10
mmlu_pro,mmlu_pro_4949,129,,4949,test,F,using cause-and-effect to systematize the understanding of human behavior,10
mmlu_pro,mmlu_pro_6850,130,,6850,test,A,Postponability and monopoly power,4
mmlu_pro,mmlu_pro_10447,131,,10447,test,H,0.5,9
mmlu_pro,mmlu_pro_4468,132,,4468,test,A,1.13,10
mmlu_pro,mmlu_pro_6639,133,,6639,test,B,Prospective cohort,10
mmlu_pro,mmlu_pro_1817,134,,1817,test,F,"denied, because the shopper's statement to her housekeeper would be admissible as a declaration of present bodily condition.",10
mmlu_pro,mmlu_pro_146,135,,146,test,H,$46 per share,10
mmlu_pro,mmlu_pro_1602,136,,1602,test,E,The taking for economic development purposes is proper because developing the city's economy constitutes a public use.,10
mmlu_pro,mmlu_pro_7241,137,,7241,test,I,individual units within the overall economy.,10
mmlu_pro,mmlu_pro_1562,138,,1562,test,A,"The editor and newspaper, because there is no constitutional right of advertising under the First and Fourteenth Amendments.",10
mmlu_pro,mmlu_pro_4804,139,,4804,test,G,religious toleration,10
mmlu_pro,mmlu_pro_4728,140,,4728,test,G,The rise of a literate class of scribes in cities who could record poems,10
mmlu_pro,mmlu_pro_11815,141,,11815,test,I,4.99 × 10^-6lbmwater/lbmdry air,10
mmlu_pro,mmlu_pro_11269,142,,11269,test,C,harm their ability to learn.,4
mmlu_pro,mmlu_pro_9571,143,,9571,test,G,22.4 degrees,10
mmlu_pro,mmlu_pro_8787,144,,8787,test,F,Mr. Kramer’s 8 grandchildren shared 20 crackers equally. How many crackers did each grandchild get?,8
mmlu_pro,mmlu_pro_6494,145,,6494,test,H,Increased capillary permeability due to inflammation,10
mmlu_pro,mmlu_pro_9779,146,,9779,test,G,24 ohms,10
mmlu_pro,mmlu_pro_11076,147,,11076,test,E,~H,10
mmlu_pro,mmlu_pro_1947,148,,1947,test,F,"No, because it was unforeseeable that the doctor's injury would result from the type of harm threatened.",10
mmlu_pro,mmlu_pro_5480,149,,5480,test,H,$0 $75000,10
mmlu_pro,mmlu_pro_3616,150,,3616,test,H,(1000) / (27),10
mmlu_pro,mmlu_pro_4454,151,,4454,test,A,"Toluene is more easily nitrated, and therefore more easily polynitrated than benzene.",10
mmlu_pro,mmlu_pro_3298,152,,3298,test,C,"0.218, 0.015",10
mmlu_pro,mmlu_pro_3017,153,,3017,test,B,70% of the ventricular filling occurs during diastole due to passive flow as the atrial pressure is greater than the ventricular pressure.,10
mmlu_pro,mmlu_pro_6256,154,,6256,test,D,Treat the symptoms,4
mmlu_pro,mmlu_pro_10454,155,,10454,test,A,"False, False",10
mmlu_pro,mmlu_pro_1300,156,,1300,test,I,"No, the mortgage lien could not destroy the joint tenancy, and when the partner dies, the property passes by operation of law to the surviving joint tenant.",10
mmlu_pro,mmlu_pro_10992,157,,10992,test,J,they have neglected to take whatever steps would lead to their self-sustenance.,10
mmlu_pro,mmlu_pro_3307,158,,3307,test,B,99 percent,10
mmlu_pro,mmlu_pro_265,159,,265,test,G,Encoding.,10
mmlu_pro,mmlu_pro_6641,160,,6641,test,A,Working in a category IV laboratory,4
mmlu_pro,mmlu_pro_3249,161,,3249,test,D,"Growth in bacteria refers to an increase in the entire population of cells, while in plants and animals, it refers to the increase in size of the individual organism.",10
mmlu_pro,mmlu_pro_6588,162,,6588,test,F,Three segmented negative stranded RNA viruses with anti-sense expression,10
mmlu_pro,mmlu_pro_4347,163,,4347,test,I,3.5R,10
mmlu_pro,mmlu_pro_2731,164,,2731,test,I,"Anxiety reaction, Phobic reactions, Depressive reactions, Dissociative reactions, Obsessive and compulsive reactions, Conversion reactions, Psychoneurotic reaction",10
mmlu_pro,mmlu_pro_7730,165,,7730,test,A,4,10
mmlu_pro,mmlu_pro_3667,166,,3667,test,B,250 cm^3,10
mmlu_pro,mmlu_pro_4280,167,,4280,test,F,71.30 %,10
mmlu_pro,mmlu_pro_5492,168,,5492,test,D,Dormant,4
mmlu_pro,mmlu_pro_3109,169,,3109,test,D,Incomplete dominance describes the interaction of two alleles on one gene; epistasis describes the interaction of two genes and their respective alleles.,10
mmlu_pro,mmlu_pro_7853,170,,7853,test,G,9,10
mmlu_pro,mmlu_pro_1135,171,,1135,test,B,He was not a seller of the product upon whom strict liability may be imposed.,4
mmlu_pro,mmlu_pro_9648,172,,9648,test,E,2$\frac{v_0}{g \sin \alpha}$,10
mmlu_pro,mmlu_pro_7279,173,,7279,test,E,Changes in the long-run cost per unit of output due to variations in the prices of inputs,10
mmlu_pro,mmlu_pro_3228,174,,3228,test,B,0.001,10
mmlu_pro,mmlu_pro_10400,175,,10400,test,F,(a),8
mmlu_pro,mmlu_pro_10909,176,,10909,test,J,"Drug prohibition would be done for the benefit of others, not the benefit of those who wish to produce/sell drugs, so it is not paternalistic in an objectionable sense.",10
mmlu_pro,mmlu_pro_2734,177,,2734,test,B,Schizophrenia and manic-depressive psychosis,10
mmlu_pro,mmlu_pro_2198,178,,2198,test,E,One y-intercept and three regression coefficients,10
mmlu_pro,mmlu_pro_1969,179,,1969,test,C,"admissible as a dying declaration if the judge, by preponderance of the evidence, determines that the victim believed that her death was imminent.",9
mmlu_pro,mmlu_pro_3605,180,,3605,test,D,"0.9994553, 2.4 ×10^-13",10
mmlu_pro,mmlu_pro_2412,181,,2412,test,C,"The three basic goals of psychology are: to measure and describe behavior, to predict and control behavior, and to understand and explain behavior.",10
mmlu_pro,mmlu_pro_4907,182,,4907,test,D,Mousterian,10
mmlu_pro,mmlu_pro_613,183,,613,test,H,$363.75,10
mmlu_pro,mmlu_pro_8746,184,,8746,test,B,1.414,10
mmlu_pro,mmlu_pro_2313,185,,2313,test,E,Maturation refers to the development of bodily processes and the changes in behavior that result from such development.,10
mmlu_pro,mmlu_pro_366,186,,366,test,D,Role culture,6
mmlu_pro,mmlu_pro_1442,187,,1442,test,H,"the farmer, because the covenants are personalin nature and do not run with the land.",9
mmlu_pro,mmlu_pro_4354,188,,4354,test,F,0.405 $\mathrm{~N}$,10
mmlu_pro,mmlu_pro_4319,189,,4319,test,G,1.04 × 10^-5 m bar,10
mmlu_pro,mmlu_pro_11731,190,,11731,test,E,1665 Btu/hr-ft2-°F,10
mmlu_pro,mmlu_pro_10479,191,,10479,test,D,Associativity can be achieved with appropriate roundoff conventions.,5
mmlu_pro,mmlu_pro_754,192,,754,test,D,"Economic, Legal, Ethical and Philanthropic",10
mmlu_pro,mmlu_pro_8317,193,,8317,test,J,241,10
mmlu_pro,mmlu_pro_1900,194,,1900,test,A,Neither burglary nor attempted violation of the statute.,9
mmlu_pro,mmlu_pro_6268,195,,6268,test,A,> 95%,10
mmlu_pro,mmlu_pro_1237,196,,1237,test,G,"No, because the friend is not a named insured on the title insurance policy.",10
mmlu_pro,mmlu_pro_11039,197,,11039,test,D,The parents have good motives.,10
mmlu_pro,mmlu_pro_316,198,,316,test,H,Gouldner,10
mmlu_pro,mmlu_pro_7876,199,,7876,test,F,650000 $\mathrm{ft-lb}$,10
mmlu_pro,mmlu_pro_5801,200,,5801,test,C,"they involved short, simple sentences with a small vocabulary",7
mmlu_pro,mmlu_pro_1845,201,,1845,test,D,"constitutional, because there is a rational basis for distinguishing between non-physicians are not so engaged.",9
mmlu_pro,mmlu_pro_1971,202,,1971,test,D,neither larceny nor embezzlement.,10
mmlu_pro,mmlu_pro_7167,203,,7167,test,J,Shifts down Falls Rises,10
mmlu_pro,mmlu_pro_1188,204,,1188,test,B,"Yes, because the passenger was not actively participating in a joint enterprise and did not do enough to contribute to the cause of the accident.",7
mmlu_pro,mmlu_pro_6579,205,,6579,test,H,29.7 kJ or 7.1 kcal per g,10
mmlu_pro,mmlu_pro_3481,206,,3481,test,C,By using operant conditioning and observing the dog's response to different sound frequencies,9
mmlu_pro,mmlu_pro_1366,207,,1366,test,J,The right to public employment is a protected property interest and the employees would likely prevail because of lack of procedural due process.,10
mmlu_pro,mmlu_pro_7103,208,,7103,test,G,Decreasing Increasing,9
mmlu_pro,mmlu_pro_1836,209,,1836,test,E,"The house painter's performance under the contract would be an express condition precedent to the homeowner's duty of payment of the $10,000.",10
mmlu_pro,mmlu_pro_9369,210,,9369,test,C,450 m,10
mmlu_pro,mmlu_pro_10672,211,,10672,test,A,4,10
mmlu_pro,mmlu_pro_7482,212,,7482,test,H,the retirement age is lowered.,8
mmlu_pro,mmlu_pro_8751,213,,8751,test,B,0.0,10
mmlu_pro,mmlu_pro_7928,214,,7928,test,I,12 – 2 – 2 – 2 – 2 – 2 – 2,9
mmlu_pro,mmlu_pro_3725,215,,3725,test,A,9.1445 x 10^-27 J T-1,10
mmlu_pro,mmlu_pro_6022,216,,6022,test,E,AIDS,5
mmlu_pro,mmlu_pro_12143,217,,12143,test,H,"1200psia= 81.7atm, 68.2 atm, 70.8atm",10
mmlu_pro,mmlu_pro_11038,218,,11038,test,H,~(M ∨ S),10
mmlu_pro,mmlu_pro_654,219,,654,test,A,$133.50,10
mmlu_pro,mmlu_pro_10052,220,,10052,test,C,The image flips over.,10
mmlu_pro,mmlu_pro_1728,221,,1728,test,F,"win, because there was no constructive eviction.",9
mmlu_pro,mmlu_pro_4575,222,,4575,test,H,0.24 JK^-1,10
mmlu_pro,mmlu_pro_1198,223,,1198,test,B,"No, there was no police misconduct or overreaching, and as a result the confession is voluntary.",9
mmlu_pro,mmlu_pro_1170,224,,1170,test,J,"granted, because the second statement was the fruit of the first statement.",10
mmlu_pro,mmlu_pro_9436,225,,9436,test,C,heats water,10
mmlu_pro,mmlu_pro_9742,226,,9742,test,J,8.95,10
mmlu_pro,mmlu_pro_6637,227,,6637,test,C,Replacement of saturated fatty acids with large amounts of carbohydrate is associated with decreased LDL and increased plasma triglyceride concentrations,5
mmlu_pro,mmlu_pro_1022,228,,1022,test,G,admissible as an excited utterance.,9
mmlu_pro,mmlu_pro_5633,229,,5633,test,A,Make inquiries of management concerning restrictions on the availability of cash balances.,10
mmlu_pro,mmlu_pro_305,230,,305,test,E,$1.94,10
mmlu_pro,mmlu_pro_1074,231,,1074,test,J,"granted, because the police did not have probable cause to conduct the search of her purse.",10
mmlu_pro,mmlu_pro_958,232,,958,test,J,"When a police officer has made a lawful custodial arrest of an individual, he may, as a contemporaneous incident of that arrest, search the person of the individual.",10
mmlu_pro,mmlu_pro_6520,233,,6520,test,D,"China, the U.S. and Russia",10
mmlu_pro,mmlu_pro_5726,234,,5726,test,F,When victims of abuse remain silent about the abuse,9
mmlu_pro,mmlu_pro_5184,235,,5184,test,G,6%,10
mmlu_pro,mmlu_pro_3286,236,,3286,test,E,82 students,10
mmlu_pro,mmlu_pro_7135,237,,7135,test,D,Poverty is the condition of having too little money to fulfill basic needs as society currently defines those needs.,10
mmlu_pro,mmlu_pro_212,238,,212,test,J,1.372,10
mmlu_pro,mmlu_pro_11346,239,,11346,test,A,3.12 in,10
mmlu_pro,mmlu_pro_12226,240,,12226,test,C,3.42 × 10^12 Ω,10
mmlu_pro,mmlu_pro_9852,241,,9852,test,G,$0.346$$\mathrm{~m}$,10
mmlu_pro,mmlu_pro_6488,242,,6488,test,B,Systemic hypertension,10
mmlu_pro,mmlu_pro_8231,243,,8231,test,F,75 - 0.5244(14),10
mmlu_pro,mmlu_pro_11552,244,,11552,test,H,20 ohms,10
mmlu_pro,mmlu_pro_11065,245,,11065,test,G,deliberative justification.,10
mmlu_pro,mmlu_pro_11962,246,,11962,test,C,"1480K, highest gain first",10
mmlu_pro,mmlu_pro_9216,247,,9216,test,D,radioactivity.,10
mmlu_pro,mmlu_pro_6947,248,,6947,test,I,Poor countries will have low growth rates,10
mmlu_pro,mmlu_pro_6595,249,,6595,test,A,carcinoma.,10
mmlu_pro,mmlu_pro_9404,250,,9404,test,C,9 lb,10
mmlu_pro,mmlu_pro_9105,251,,9105,test,B,"m = 20 u, q = –1 e",10
mmlu_pro,mmlu_pro_3406,252,,3406,test,D,"Insects are divided into different orders based primarily upon wing structure, type of mouthparts, and the type of metamorphosis they undergo. The class Insecta is divided into two subclasses, Apterygota and Pterygota.",10
mmlu_pro,mmlu_pro_4589,253,,4589,test,A,"- 119,767 cal",10
mmlu_pro,mmlu_pro_304,254,,304,test,G,"$18,526",10
mmlu_pro,mmlu_pro_8136,255,,8136,test,H,18 = p − 4; 22,8
mmlu_pro,mmlu_pro_2725,256,,2725,test,F,12 in females only,10
mmlu_pro,mmlu_pro_10570,257,,10570,test,G,900,10
mmlu_pro,mmlu_pro_7223,258,,7223,test,A,Net exports and GDP both fall.,10
mmlu_pro,mmlu_pro_6820,259,,6820,test,C,13%,10
mmlu_pro,mmlu_pro_8262,260,,8262,test,E,the total number of students in each teacher’s class,10
mmlu_pro,mmlu_pro_731,261,,731,test,D,$432.35,10
mmlu_pro,mmlu_pro_1197,262,,1197,test,B,The performance of the roofer would be a constructive condition precedent to the performance by the homeowner.,9
mmlu_pro,mmlu_pro_2479,263,,2479,test,I,"""Rubber-band"" hypothesis",10
mmlu_pro,mmlu_pro_11164,264,,11164,test,B,"by suggesting that the harm of rape is that it is nonconsensual, it implies that all consensual sex is good.",10
mmlu_pro,mmlu_pro_3972,265,,3972,test,B,b and c are Hermitan,4
mmlu_pro,mmlu_pro_1918,266,,1918,test,H,"not prevail, because the shareholder was an incidental beneficiary of the bank's sale of the company's assets.",10
mmlu_pro,mmlu_pro_1410,267,,1410,test,H,The manufacturer's case is moot.,10
mmlu_pro,mmlu_pro_8939,268,,8939,test,A,1.0,10
mmlu_pro,mmlu_pro_8700,269,,8700,test,J,2,10
mmlu_pro,mmlu_pro_6574,270,,6574,test,G,Meat and meat products,10
mmlu_pro,mmlu_pro_5660,271,,5660,test,B,"The roles that women played in violence, be it as victims, perpetrators or otherwise, was framed in terms of what effect their roles had on the state, rather than as individuals or as women.",4
mmlu_pro,mmlu_pro_5319,272,,5319,test,I,Diminished economic resources,10
mmlu_pro,mmlu_pro_7183,273,,7183,test,A,(ii) and (iv) only,10
mmlu_pro,mmlu_pro_7413,274,,7413,test,F,All human abilities or talents used in the production of goods or services.,10
mmlu_pro,mmlu_pro_4425,275,,4425,test,A,"1,4-dichlorobenzene",10
mmlu_pro,mmlu_pro_6529,276,,6529,test,F,"The root value of the biceps reflex is C5, C6",9
mmlu_pro,mmlu_pro_101,277,,101,test,H,"280,000 units and $350,000",10
mmlu_pro,mmlu_pro_10151,278,,10151,test,D,3.2 × 10^2 N,10
mmlu_pro,mmlu_pro_2792,279,,2792,test,E,"Advantages: compensate for cultural disadvantages and measure innate abilities fairly. Disadvantages: lose predictive and diagnostic value, and may not provide useful information for success within the culture.",10
mmlu_pro,mmlu_pro_7306,280,,7306,test,A,Economic resources are allocated according to the decisions of the central bank.,4
mmlu_pro,mmlu_pro_3541,281,,3541,test,C,trigonal pyramidal,10
mmlu_pro,mmlu_pro_993,282,,993,test,B,"the buyer, because the covenant against encumbrances would be breached at the time the deed was delivered, thereby entitling the covenantee to recover damages.",4
mmlu_pro,mmlu_pro_8417,283,,8417,test,E,0.73575888,10
mmlu_pro,mmlu_pro_7455,284,,7455,test,D,"The use of land also constitutes a cost, in this sense an implicit cost, that is the money payments which the land resource could have earned in their best alternative employments.",4
mmlu_pro,mmlu_pro_9399,285,,9399,test,A,20 kilotons TNT,10
